Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
74792,2596.38,19710501,male,0,1-HH (male)
18939,1809.36,19820601,female,0,1 -HH (female)
653889,2733.44,19520501,male,0,2-HH
29,2131.09,19581201,female,0,2-HH
598436,9025.72,19650201,female,0,2-HH
968963108,10774.84,19990201,male,0,4-HH
2894,6416.90,19551201,male,0,1-HH (male)
12165878,13767.70,19930801,female,0,1 -HH (female)
4589,6650.52,19630701,female,0,2-HH
5234771,1976.09,19690501,male,0,1-HH (male)
2134855,1384.29,19670901,male,0,1-HH (male)
7858959,13268.65,19950401,female,0,1 -HH (female)
8193254,5258.38,19861201,female,0,2-HH
3446512,4430.17,19890401,male,0,2-HH
680639,7505.53,19700801,female,0,5-HH
7223,3900.77,19750101,male,0,4-HH
3363,4028.32,19840901,male,0,1-HH (male)
35671,6431.23,19840801,female,1 child,3-HH
37853750,5349.98,19861201,male,1 child,3-HH
760816,1771.60,19421101,male,0,1-HH (male)
444726,12381.84,19961001,male,0,2-HH
229609,3651.09,19730301,female,0,2-HH
4737685,1976.09,19630401,male,0,1-HH (male)
8146,5146.83,19810201,female,0,3-HH
405785,5083.80,19530101,female,0,2-HH
75251106,10209.15,19980601,male,0,1-HH (male)
13716898,2778.29,19810401,male,0,1-HH (male)
4680,3542.77,19441001,female,0,2-HH
65120025,2602.85,19730201,male,0,1-HH (male)
4636,4227.50,19830601,male,0,1-HH (male)
18707,1815.64,19730401,male,0,1-HH (male)
83671320,1896.40,19730901,female,0,1 -HH (female)
8958362,2808.24,19521001,male,0,1-HH (male)
5207,13172.94,19860701,female,0,1 -HH (female)
765546,2596.38,19640401,male,0,1-HH (male)
57894841,10811.76,19930301,male,0,2-HH
602385343,5965.15,19690601,female,0,1 -HH (female)
84421671,4033.94,19700701,female,0,4-HH
21315042,2930.96,19610701,male,0,2-HH
5521,2990.33,19530701,female,0,2-HH
86083806,4240.94,19520701,male,0,2-HH
655846219,2831.03,19720401,male,0,2-HH
159997,6647.08,19690601,female,0,4-HH
96961,6482.59,19710501,male,0,4-HH
8539693,14639.05,19831001,female,1 child,4-HH
39690,6345.25,19810801,male,1 child,3-HH
87921,7148.17,19821201,female,2 Children,4-HH
92618,5083.80,19440801,female,0,2-HH
218418,14738.75,19970701,male,0,3-HH
299696675,2435.93,19810801,male,0,1-HH (male)
6052217,12086.69,19950601,male,0,2-HH
179665,1455.36,19550301,female,0,2-HH
14086,#NULL!,19671101,male,0,1-HH (male)
