WEIGHT,NUMBER_OF_CHILDREN,AGE,HOUSEHOLD_SIZE,TV_TOTAL,FLYERS,PRINT_TOTAL,ONLINE_VIDEO,ONLINE_DISPLAY,ONLINE_TOTAL,TIKTOK,YOUTUBE_TOTAL,YOUTUBE_MOBILE,YOUTUBE_DESKTOP,YOUTUBE_TABLET,YOUTUBE_CTV,PINTEREST,PURCHASE,GENDER_female,GENDER_male,TOTAL_MEDIA_EXPOSURE,DIGITAL_MEDIA_TOTAL,TRADITIONAL_MEDIA_TOTAL,SOCIAL_MEDIA_TOTAL,VIDEO_MEDIA_TOTAL,MEDIA_PER_HOUSEHOLD_MEMBER,MEDIA_PER_CHILD,AGE_GROUP,HEAVY_MEDIA_USER,ENGAGED_VIDEO_USER,TARGET_GROUP
2366.51,0.0,74.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,9.0,0.0,9.0,0.0,0.0,4.5,9.0,65-74,1,0,0
2187.1,0.0,64.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,2.0,0.0,2.0,0.0,0.0,1.0,2.0,55-64,0,0,0
3267.22,0.0,59.0,2.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,22.0,0.0,22.0,0.0,0.0,11.0,22.0,55-64,1,0,0
2966.31,0.0,61.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,False,True,6.0,2.0,4.0,2.0,0.0,6.0,6.0,55-64,1,0,0
3961.46,0.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,0,0,0
4240.94,0.0,67.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,4.0,0.0,4.0,0.0,0.0,2.0,4.0,65-74,0,0,0
6495.48,0.0,71.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,16.0,0.0,16.0,0.0,0.0,8.0,16.0,65-74,1,0,0
8951.64,0.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,3.0,0.0,3.0,0.0,0.0,1.5,3.0,55-64,0,0,0
2739.54,0.0,70.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,2.0,0.0,2.0,0.0,0.0,1.0,2.0,65-74,0,0,0
6410.84,0.0,81.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1,True,False,32.0,19.0,13.0,19.0,0.0,16.0,32.0,75+,1,0,0
6495.48,0.0,75.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,27.0,0.0,27.0,0.0,0.0,13.5,27.0,75+,1,0,0
1580.18,0.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,0,0,0
1578.65,0.0,77.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,9.0,0.0,9.0,0.0,0.0,4.5,9.0,75+,1,0,0
3961.46,0.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65-74,0,0,0
3961.46,0.0,63.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,1.0,0.0,1.0,0.0,0.0,1.0,1.0,55-64,0,0,0
3961.46,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,0,0,0
3961.46,0.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65-74,0,0,0
2420.93,0.0,62.0,1.0,20.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,32.0,0.0,32.0,0.0,0.0,32.0,32.0,55-64,1,0,0
3218.34,0.0,63.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,False,True,18.0,17.0,1.0,17.0,0.0,9.0,18.0,55-64,1,0,0
4605.71,0.0,42.0,1.0,8.0,0.0,0.0,13.0,6.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,True,False,28.0,20.0,8.0,1.0,14.0,28.0,28.0,35-44,1,1,1
5246.94,0.0,54.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,False,True,2.0,1.0,1.0,1.0,1.0,0.4,2.0,45-54,0,1,0
16159.67,0.0,27.0,5.0,0.0,0.0,0.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,10.0,10.0,0.0,0.0,6.0,2.0,10.0,18-34,1,1,0
5171.5,0.0,57.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,True,False,9.0,1.0,8.0,1.0,1.0,1.8,9.0,55-64,1,1,0
27786.37,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-34,0,0,0
3558.59,0.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75+,0,0,0
5591.1,0.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65-74,0,0,0
2811.43,0.0,58.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,8.0,1.0,7.0,0.0,1.0,8.0,8.0,55-64,1,1,0
4455.86,0.0,63.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,4.0,0.0,4.0,0.0,0.0,2.0,4.0,55-64,0,0,0
6678.95,0.0,59.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,False,True,9.0,2.0,7.0,2.0,0.0,2.25,9.0,55-64,1,0,0
15770.46,0.0,30.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,1.0,0.0,1.0,0.0,0.0,0.25,1.0,18-34,0,0,0
2075.25,0.0,49.0,1.0,13.0,0.0,0.0,8.0,9.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,False,True,31.0,18.0,13.0,1.0,9.0,31.0,31.0,45-54,1,1,0
9918.66,0.0,28.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,6.0,4.0,2.0,0.0,4.0,6.0,6.0,18-34,1,1,0
6495.48,0.0,79.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,4.0,0.0,4.0,0.0,0.0,2.0,4.0,75+,0,0,0
2831.03,0.0,62.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,True,16.0,0.0,16.0,0.0,0.0,8.0,16.0,55-64,1,0,0
